what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1510989213826
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1510989214013
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1510989214206
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1510989214219
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1510989214550
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1510989214606
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1510989214925
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1510989214986
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1510989214997
started,bundle,com.altera.sbtgui.integration,12.0.0.178,"com.altera.sbtgui.integration",1510989215179
started,bundle,com.altera.systemconsole,12.0.0.178,"com.altera.systemconsole",1510989215217
started,bundle,com.altera.utilities,12.0.0.178,"com.altera.utilities",1510989215453
started,bundle,com.altera.systemconsole.designs.plugin,12.0.0.178,"com.altera.systemconsole.designs.plugin",1510989215569
started,bundle,com.altera.systemconsole.scripting,12.0.0.178,"com.altera.systemconsole.scripting",1510989215744
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1510989216133
started,bundle,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch",1510989216398
started,bundle,com.altera.sbtgui.core,12.0.0.178,"com.altera.sbtgui.core",1510989217263
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1510989217355
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1510989219048
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989219077
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989222980
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1510989225307
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1510989250810
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1510989270170
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1510989275700
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989277431
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989280917
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1510989283799
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1510989287617
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1510989363695
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1510989365588
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1510989365634
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1510989365639
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989368602
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989372058
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1510989373868
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1510989379199
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1510989383825
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1510989384824
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989386803
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989390174
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1510989391522
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1510989413897
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1510989416882
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989418541
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989419110
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1510989419756
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989419803
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989420843
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989423903
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989431153
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989431744
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989436058
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1510989437210
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.TaskList",1510989440669
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.TaskList",1510989440740
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1510989442893
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1510989443388
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1510989459813
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989463055
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989466931
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1510989477538
started,bundle,com.altera.debug.cdi.gdb.plugin,12.0.0.178,"com.altera.debug.cdi.gdb.plugin",1510989486426
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989486589
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989493651
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1510989493675
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1510989497100
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1510989509223
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1510989510135
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1510989511273
started,bundle,com.altera.sbtgui.ui,12.0.0.178,"com.altera.sbtgui.ui",1510989513481
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989514639
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989539538
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989567540
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989567850
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1510989570206
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1510989570256
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1510989571150
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1510989571680
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1510989573954
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989575530
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989603368
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989603698
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989604038
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989609162
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989612553
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1510989614011
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989614134
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989615834
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1510989622177
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1510989622177
opened,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1510989624109
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1510989624340
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1510989624355
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1510989647567
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1510989651907
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1510989653200
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989655281
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989659347
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989659384
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989664666
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1510989664683
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989668457
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989671974
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1510989675171
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1510989684599
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1510989692833
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1510989712764
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1510989755601
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989757761
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989761829
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989779711
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989783577
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989783615
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989785486
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1510989785506
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1510989790718
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1510989818975
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1510989820369
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989821991
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1510989825507
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1510989831923
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1510989839339
